Language	Tag F1	Mim F1	t	p
ta	0.8461	0.8232	1909.0000	0.000109152532	119
lv	0.6320	0.5841	4502.0000	0.000000000001	222
vi	0.0000	0.0000	0.0000	0.000000000000	0
hu	0.7320	0.7634	3951.0000	0.000000392138	187
tr	0.7424	0.7294	103690.0000	0.000249665079	842
bg	0.8093	0.7964	196825.5000	0.000067560063	1115
sv	0.8493	0.8310	156864.5000	0.000000000000	1218
ru	0.8028	0.8211	33660.5000	0.000000000001	498
da	0.8157	0.7859	14633.0000	0.000391203172	321
fa	0.8558	0.8573	43338.5000	0.356953015328	599
he	0.8041	0.6759	2430.0000	0.000000000000	490
en	0.8248	0.8124	229569.0000	0.000027474238	2076
hi	0.8530	0.8648	380433.0000	0.000000000000	1683
it	0.8997	0.9079	24278.5000	0.000084150703	488
es	0.8680	0.8767	7141.0000	0.000000000474	273
cs	0.7107	0.7192	17405804.5000	0.000000000000	10147
