Language	Tag acc	Mim acc	t	p
ta	0.8506	0.8216	677.5000	0.000215063846	119
lv	0.8384	0.8230	3043.5000	0.124525547425	222
vi	0.8467	0.8421	4835.5000	0.071823169947	399
hu	0.8597	0.8896	1703.5000	0.000000022335	187
tr	0.8478	0.8491	29051.5000	0.292072646425	842
bg	0.9242	0.9216	52817.5000	0.391351732404	1115
sv	0.9241	0.9187	54860.5000	0.187808456049	1218
ru	0.8955	0.9039	14049.5000	0.016294274567	498
da	0.8937	0.8809	5766.5000	0.203117660386	321
fa	0.9351	0.9346	9837.5000	0.889996557653	599
he	0.9164	0.9137	11369.5000	0.205062997947	490
en	0.8552	0.8530	119756.0000	0.041600500584	2076
hi	0.8811	0.8781	233386.0000	0.057695525429	1683
it	0.9237	0.9235	13350.0000	0.962346121374	488
es	0.9106	0.9035	3927.0000	0.235246222132	273
cs	0.8999	0.8961	6430506.0000	0.000058273521	10147
